action,id,external_id,source,name,city,city_cluster,lat,lon,district,district_before,district_how,sport_ids,amenity_kinds,has_declared_sport,in_footprint,full_address,street_number,street_name,tags
update,9651f061-8ffd-4790-b20b-e7c220c58fdd,legacy:9651f061-8ffd-4790-b20b-e7c220c58fdd,directory,sân tuấn huệ,,,,,,,no-coords,,,False,,,,,
update,db960ffb-c97b-4947-97b1-e618ad74d43f,246209672,directory,,hcm,1,11.017584301954,106.67513363138,Phú Mỹ,Phú Mỹ,out-of-footprint,,sports_centre,False,False,"Đường D1, Phú Mỹ, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, 75111, Việt Nam",,Đường D1,leisure:[sports_centre]
update,02ffcb60-7068-4327-8011-cc10c5cc56f8,246211063,directory,Câu lạc bộ Thể thao Phú Mỹ,hcm,1,11.01764435,106.675611640053,Phú Mỹ,Phú Mỹ,out-of-footprint,,swimming_pool,False,False,"Câu lạc bộ Thể thao Phú Mỹ, Đường N5, Phú Mỹ, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, 75111, Việt Nam",,Đường N5,leisure:[swimming_pool]
update,93ae4442-4727-4662-8a6f-0c38b5a7be8b,246214514,directory,Trung tâm Văn hoá - Thông tin Thể thao Thành phố Thủ Dầu Một,hcm,1,11.01584245,106.674854493611,Phú Mỹ,Phú Mỹ,out-of-footprint,1,pitch,True,False,"Trung tâm Văn hoá - Thông tin Thể thao Thành phố Thủ Dầu Một, Hùng Vương, Phú Mỹ, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, 75111, Việt Nam",,Hùng Vương,leisure:[pitch] ;; sport:[soccer]
update,079acc00-5388-4de9-bc24-157ec585eb2c,246618519,directory,,hcm,1,10.9321826,106.8532124,Phường An Bình,Phường An Bình,out-of-footprint,1,pitch,True,False,"Khu phố 1, Phường An Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, 76111, Việt Nam",,,leisure:[pitch] ;; sport:[soccer]
update,5545be38-4b61-42f7-b34f-1ed5e62a2ce7,246624741,directory,,hcm,1,10.9314602187073,106.853518481523,Phường An Bình,Phường An Bình,out-of-footprint,1,pitch,True,False,"Đường G, Khu phố 12, Phường An Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, 76111, Việt Nam",,Đường G,leisure:[pitch] ;; sport:[soccer]
update,d08ba324-0086-4b51-a223-6e0910e514bd,246631623,directory,,hcm,1,10.9294709877218,106.876051892009,Phường An Bình,Phường An Bình,out-of-footprint,1,pitch,True,False,"Khu phố 11, Phường An Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, 76111, Việt Nam",,,leisure:[pitch] ;; sport:[soccer]
update,794f6062-c793-4acd-aa3c-609375265819,246650278,directory,Block B,hcm,1,10.8699199,106.761934645355,Phường An Bình,Phường An Bình,out-of-footprint,1,pitch,True,False,"Block B, 18, Kha Vạn Cân, Bình Đường 2, Phường An Bình, Thành phố Thủ Đức, Tỉnh Bình Dương, 75350, Việt Nam",18,Kha Vạn Cân,building:levels:[35] ;; leisure:[pitch] ;; sport:[soccer]
update,605fb77d-21ad-454e-a913-ef9c3711f04c,246625788,directory,Công Ty TNHH MTV Thuộc da Rostaing,hcm,1,10.93322035,106.872884111804,Phường An Bình,Phường An Bình,out-of-footprint,4,pitch|swimming_pool,True,False,"Công Ty TNHH MTV Thuộc da Rostaing, Đường 13A, Phường An Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, 76111, Việt Nam",,Đường 13A,"landuse:[industrial] ;; leisure:[pitch, swimming_pool] ;; sport:[tennis]"
update,f8b1782c-4d07-4349-9d00-0faa2a60f524,246621845,directory,Công ty Cổ phần Scavi Việt Nam,hcm,1,10.92834095,106.874684173146,Phường An Bình,Phường An Bình,out-of-footprint,4,pitch,True,False,"Công ty Cổ phần Scavi Việt Nam, Đường 19A, Phường An Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, 76111, Việt Nam",,Đường 19A,landuse:[industrial] ;; leisure:[pitch] ;; sport:[tennis]
